language,question,option a,option b,option c,option d,correct
Java,What does the 'super' keyword refer to in Java?,Superclass,Current class,Method,Object,option a
Java,What does the 'instanceof' operator do in Java?,Checks if an object is an instance of a class,Instantiates an object,Checks if two objects are equal,None of the above,option a
Java,What will be the result of this expression: '2 + 2 + '5' in Java?,52,35,25,Error,option b
Java,Which of the following methods is used to stop a thread in Java?,stop(),halt(),terminate(),interrupt(),option d
Java,What is the output of the expression (int) 3.5?,3,4,0,3.5,option a
JavaScript,Which keyword is used to declare a constant?,let,var,const,constant,option c
JavaScript,What is the function used to parse integers in JavaScript?,parseInt(),int(),toInt(),parseInteger(),option a
JavaScript,Which method is used to check if an object is an array?,isArray(),Array.is(),Array.isArray(),is_object(),option c
JavaScript,Which method is used to convert a string to lowercase?,toLower(),lowerCase(),toLowerCase(),lower(),option c
JavaScript,Which method is used to remove an element from an array in JavaScript?,remove(),pop(),delete(),shift(),option b
JavaScript,Which of these is a valid function definition in JavaScript?,function myFunc(),def myFunc(),func myFunc(),void myFunc(),option a
JavaScript,Which of the following is used to create a new object in JavaScript?,new Object(),Object.create(),{},All of the above,option d
JavaScript,What will `console.log(3 == '3')` output in JavaScript?,true,false,Error,undefined,option a
JavaScript,Which event occurs when the user clicks on an HTML element?,click,mouseClick,mousedown,mouseup,option a
JavaScript,Which function is used to convert a string to a number in JavaScript?,parseInt(),toNumber(),parseFloat(),Number(),option d
JavaScript,Which operator is used to check if two values are equal in JavaScript?,,,=,!=,option b
JavaScript,Which symbol is used for single-line comments in JavaScript?,//,#,/*,--,option a
JavaScript,Which method is used to add an element to the end of an array?,push(),append(),add(),insert(),option a
JavaScript,Which of the following can be used to handle errors in JavaScript?,try-catch,throw-catch,error-catch,except,option a
JavaScript,Which of the following will throw a 'ReferenceError' in JavaScript?,console.log(nonExistentVar),console.log(undefined),console.log(null),console.log(0),option a
JavaScript,Which of the following is a valid JavaScript loop?,for,foreach,loop,do-while,option a
JavaScript,What is the output of `console.log(5 + '5')` in JavaScript?,10,'55',55,Error,option b
JavaScript,Which of the following is not a valid JavaScript data type?,boolean,string,array,undefined,option c
JavaScript,Which function is used to check if an object is an array in JavaScript?,Array.is(),Array.isArray(),isArray(),instanceof Array,option b
JavaScript,What does `typeof` operator do in JavaScript?,Checks the type of an operand,Checks the value of an operand,Converts a value to a string,Converts a value to a number,option a
JavaScript,Which method is used to find the index of a value in an array?,findIndex(),indexOf(),search(),locate(),option b
JavaScript,What is the result of `console.log(1 + '1' - 1)` in JavaScript?,1,11,Error,2,option d
JavaScript,Which method is used to remove whitespace from both ends of a string?,trim(),strip(),cut(),remove(),option a
JavaScript,Which of the following is a valid way to declare a variable in JavaScript?,let variable,variable := 5,var variable,variable = 5,option a
JavaScript,Which of these methods is used to join two or more arrays?,concat(),merge(),join(),combine(),option a
JavaScript,Which method is used to replace a substring within a string in JavaScript?,replace(),substring(),sub(),swap(),option a
JavaScript,What does `JSON.parse()` do in JavaScript?,Converts a string into an object,Converts an object into a string,Parses JSON syntax,None of the above,option a
JavaScript,What does `JSON.stringify()` do in JavaScript?,Converts an object into a string,Converts a string into an object,Parses JSON syntax,None of the above,option a
JavaScript,Which method is used to create a new object in JavaScript?,Object(),createObject(),new Object(),new object(),option c
JavaScript,What is the output of `console.log(!!'false')`?,true,false,Error,'false',option a
JavaScript,Which method is used to find the length of an array in JavaScript?,length(),size(),count(),getLength(),option a
JavaScript,Which of the following is used to check for equality of two objects in JavaScript?,,,equals(),objectEquals(),option b
JavaScript,Which method is used to turn a string into uppercase in JavaScript?,toUpper(),upperCase(),toUpperCase(),capitalize(),option c
JavaScript,Which method is used to remove an element from the beginning of an array?,shift(),pop(),delete(),remove(),option a
JavaScript,Which of these is a valid way to add a property to an object?,obj.property = value,obj['property'] = value,"obj.set('property', value)",All of the above,option d
JavaScript,Which of the following is the correct way to define a function in JavaScript?,function() {},def function() {},void function() {},function func() {},option d
JavaScript,Which keyword is used to define a function expression?,function,fun,let,const,option a
JavaScript,Which of the following is used to create an anonymous function?,function() {},func(),lambda,const func(),option a
C++,Which of the following is the correct way to declare a variable in C++?,int x;,x = int;,variable int x;,int x = 5;,option a
C++,What is the output of `cout << 5 / 2;`?,2,2.5,3,Error,option a
C++,Which operator is used to access a class member?,::,.,&,->,option b
C++,Which of the following is the correct syntax for declaring a function?,function myFunction(),void myFunction(),int myFunction(),func myFunction(),option b
C++,Which of the following is used to create a constant in C++?,constant variable = 5;,const variable = 5;,const int variable = 5;,final int variable = 5;,option c
C++,Which function is used to read input from the user in C++?,cin,input(),scanf,get(),option a
C++,What is the output of `cout << 2 + 3 * 4;`?,14,20,24,22,option a
C++,Which of the following is used to define a class in C++?,class MyClass;,class MyClass(),class: MyClass,MyClass class,option a
C++,Which method is used to find the length of a string in C++?,length(),size(),getSize(),strlen(),option d
C++,Which operator is used to allocate memory dynamically?,new,malloc,calloc,alloc,option a
C++,Which of these is used to deallocate dynamically allocated memory in C++?,delete,free,delete[],free[],option a
C++,What does the `this` pointer refer to in C++?,A class object,The class itself,Current object,Previous object,option c
C++,Which function is used to find the size of a vector in C++?,length(),size(),getSize(),count(),option b
C++,Which of the following is correct for a while loop in C++?,while(condition){},while {}(condition),while{} condition,while (condition:),option a
C++,Which of these is the correct way to declare a pointer in C++?,int ptr;,int* ptr;,int ptr*;,pointer int ptr;,option b
C++,Which of the following is the correct syntax for a for loop in C++?,for(i=0; i<10; i++){},for(int i = 0; i < 10; i++){},for(i<10; i++){},for(int i=0; i<10){i++;},option b
C++,What does the `break` statement do in C++?,Exits the loop,Ends the program,Continues to the next loop,Returns a value,option a
C++,What is the correct way to allocate memory for an array of 10 integers in C++?,int arr[10];,int* arr = new int[10];,int arr[] = new int[10];,int* arr = new int();,option b
C++,Which of the following is used for function overloading in C++?,Same function name with different parameters,Different function names,Same return type,Same parameters,option a
C++,What is the default access specifier for class members in C++?,private,public,protected,default,option a
C++,Which of these is used to define a constant in C++?,const variable;,constant variable;,final variable;,immutable variable;,option a
C++,Which keyword is used to inherit a class in C++?,inherit,extends,implements,public,option d
C++,What is the correct way to declare a static variable in C++?,static int x;,int static x;,static var x;,var static x;,option a
C++,Which of the following is true about a constructor in C++?,It has no return type,It has a return type,It must be declared as private,It is called only once,option a
C++,What does the `delete[]` operator do in C++?,Frees memory allocated by an array,Frees memory allocated by new,Frees memory allocated for a single element,Does nothing,option a
C++,Which of these is used to access base class members in C++?,::,->,.,super,option d
C++,What is the correct way to write a switch case statement in C++?,switch(x) { case 1: break; },switch(x) { case 1 break; },switch(x): case 1;,case 1: break; switch(x);,option a
C++,Which function is used to compare two strings in C++?,compare(),stringCompare(),strcmp(),equal(),option c
C++,Which of the following is used to dynamically allocate memory in C++?,new,malloc,calloc,malloc(),option a
C++,Which of these is used to define a pointer in C++?,int ptr;,ptr int;,int* ptr;,pointer int ptr;,option c
C++,Which of the following can be used to convert a string to an integer in C++?,atoi(),parseInt(),convert(),toInt(),option a
C++,Which of the following is the correct syntax for a do-while loop in C++?,do {} while();,do while() {},do {} while ();,do {}; while ();,option a
C++,Which operator is used for type casting in C++?,::,(),->,&,option b
C++,What does the `continue` statement do in C++?,Ends the current iteration and continues with the next iteration,Ends the loop,Exits the program,Returns to the beginning of the loop,option a
C++,Which of the following is the correct way to write an `if` condition in C++?,if (condition) {},if condition{},if { condition },if {} condition,option a
C++,Which method is used to initialize a string object in C++?,string myStr = 'hello';,string myStr = hello;,string myStr('hello');,string myStr('hello');,option a
C++,Which of the following is true about pointers in C++?,Pointers store memory addresses,Pointers are used for storing objects,Pointers are always initialized,Pointers cannot point to arrays,option a
C++,What is the default return type for a function in C++?,int,void,float,char,option a
C++,Which operator is used to assign a value to a pointer in C++?,*,&,->,=,option d
C++,Which of the following is correct for dynamic memory allocation in C++?,new,malloc,calloc,alloc,option a
Ruby,Which of the following is used to declare a variable in Ruby?,let,var,def,my,option a
Ruby,Which method is used to define a method in Ruby?,define,def,function,method,option b
Ruby,Which keyword is used to define a constant in Ruby?,constant,CONSTANT,const,CONSTANT_NAME,option d
Ruby,Which operator is used for string concatenation in Ruby?,+,&,-,*,option a
Ruby,What is the default return value of a method in Ruby?,nil,false,true,void,option a
Ruby,Which of the following is used to start a block in Ruby?,do,begin,loop,block,option a
Ruby,Which of the following is correct for defining a loop in Ruby?,loop { },while { },for i in 1..10,repeat until { },option a
Ruby,What is the correct syntax for an `if` condition in Ruby?,if condition,if condition do,if condition{},if condition;,option a
Ruby,How do you define a class in Ruby?,class MyClass,class MyClass(),MyClass class,class: MyClass,option a
Ruby,Which keyword is used to create an instance variable in Ruby?,@,$,instance,variable,option a
Ruby,What is the output of `puts 1 + 2` in Ruby?,3,12,Error,nil,option a
Ruby,Which method is used to iterate over a collection in Ruby?,each,map,loop,for,option a
Ruby,How do you define an array in Ruby?,[],{},(),array(),option a
Ruby,Which of the following is used to define a method that returns a value in Ruby?,def method_name,method method_name,def method(),return method_name,option a
Ruby,Which method is used to join elements of an array into a string in Ruby?,join(),concat(),to_string(),merge(),option a
Ruby,Which of the following is correct for raising an exception in Ruby?,raise Error,throw Error,raise() Error,error raise(),option a
Ruby,Which of the following is the correct syntax for an array in Ruby?,"array[1,2,3]","array(1,2,3)","array{1,2,3}","array([1,2,3])",option a
Ruby,What is the method used to find the length of a string in Ruby?,length(),size(),count(),str_length(),option a
Ruby,How do you define a hash in Ruby?,{},[],(),hash(),option a
Ruby,How can you access an element from an array in Ruby?,array[index],array[index()],array.get(index),array.at(index),option a
Ruby,Which method is used to check if a string contains a substring in Ruby?,include?,contains?,has?,in?,option a
Ruby,Which keyword is used to break out of a loop in Ruby?,exit,return,break,continue,option c
Ruby,Which of the following is used to inherit a class in Ruby?,inherit,extends,include,class <,option d
Ruby,What is the default value of a global variable in Ruby?,nil,undefined,false,null,option a
Ruby,Which of the following is used to create an infinite loop in Ruby?,loop {},while true,for i,for true,option b
Ruby,Which of the following is correct for accessing the value of an instance variable?,@variable,variable@,$variable,@$variable,option a
Ruby,What will be the output of `puts 10 > 5 ? 'Yes' : 'No'`?,Yes,No,Error,True,option a
Ruby,Which method is used to remove an element from a hash by key in Ruby?,delete,remove,delete_key,clear,option a
Ruby,Which of the following methods can be used to convert a string to an integer in Ruby?,to_i,parseInt,int(),convert(),option a
Ruby,Which method is used to remove leading whitespaces from a string in Ruby?,strip,trim,lstrip,rstrip,option a
Ruby,How do you define a range in Ruby?,(1..10),[1..10],{1..10},(1..10},option a
Ruby,Which of the following is correct for calling a method in Ruby?,method(),method;,method[],method(){},option a
Ruby,"What will the following code output? `puts [1, 2, 3].map { |x| x * 2 }`","[2, 4, 6]","[1, 2, 3]","[3, 6, 9]",Error,option a
Ruby,How do you check if a hash contains a specific key in Ruby?,hash.include?(),hash.key?,hash.has_key?,hash.contains_key?,option b
Ruby,Which of the following is used to define a class method in Ruby?,def self.method,self.method,class method,def class.method,option a
Ruby,What is the correct syntax for accessing the second element of an array in Ruby?,array[2],array[1],array(1),array.1,option b
Ruby,Which method is used to split a string into an array of substrings in Ruby?,split(),divide(),separate(),break(),option a
Ruby,Which method is used to find the class of an object in Ruby?,class(),type(),kind_of?,class_of(),option a
Ruby,Which of the following is the correct way to call a class method in Ruby?,Class.method,Class.method(),Class::method,method(Class),option b
Ruby,Which of the following is used to append an element to an array in Ruby?,push(),append(),insert(),concat(),option a
Ruby,How do you create a symbol in Ruby?,:symbol,symbol(),symbol,create symbol,option a
Ruby,Which of the following is used to exit a program in Ruby?,exit,quit,stop,terminate,option a
Ruby,Which of the following is used for error handling in Ruby?,try-except,raise-try,begin-rescue,catch-finally,option c
Ruby,What does `puts` do in Ruby?,Prints output to the console,Defines a method,Creates a variable,Starts a loop,option a
PHP,Which symbol is used to define a variable in PHP?,$,&,!,@,option a
PHP,Which function is used to output data in PHP?,echo,print,output,printf,option a
PHP,Which of the following is the correct way to define a constant in PHP?,const constant_name = value,constant constant_name = value,"define('CONSTANT', value)","define.constant('CONSTANT', value)",option c
PHP,Which method is used to read input from the user in PHP?,read(),input(),get(),fgets(),option d
PHP,What is the correct syntax for a while loop in PHP?,while(condition) { },while (condition);,while condition { },while { condition },option a
PHP,Which of the following is the correct way to declare an array in PHP?,"array(1, 2, 3)","[1, 2, 3]",array[],"array{1, 2, 3}",option a
PHP,Which function is used to count the elements in an array in PHP?,count(),size(),length(),getSize(),option a
PHP,What is the correct way to declare a class in PHP?,class MyClass { },MyClass class { },class MyClass,class: MyClass { },option a
PHP,Which keyword is used to create a constant in PHP?,const,define,constant,create,option b
PHP,How do you define a function in PHP?,def function_name(),function function_name(),func function_name(),def func(),option b
PHP,Which of the following is correct for concatenating strings in PHP?,&,+,.,concatenate,option c
PHP,What is the correct way to include another file in PHP?,include('filename'),import('filename'),load('filename'),include(filename),option a
PHP,Which function is used to find the length of a string in PHP?,strlen(),size(),length(),count(),option a
PHP,Which of the following is used to terminate a loop in PHP?,exit,stop,break,continue,option c
PHP,Which of the following functions is used to get the type of a variable in PHP?,gettype(),type(),get_variable_type(),var_type(),option a
PHP,What will the following code output: `echo 5 + 10;`?,15,510,5 + 10,Error,option a
PHP,How do you declare a variable in PHP?,var variable_name,$variable_name,declare variable_name,let variable_name,option b
PHP,Which of the following is correct for checking if a variable is set in PHP?,isset(),is_set(),check(),exists(),option a
PHP,Which function is used to redirect to another page in PHP?,redirect(),location(),header(),url(),option c
PHP,Which of the following methods is used to start a session in PHP?,start_session(),session_start(),session_open(),begin_session(),option b
PHP,How do you declare a multi-dimensional array in PHP?,"array[1, 2, 3][4, 5]","array(1, 2, 3, array(4, 5))","array(1, 2, 3, [4, 5])","array[[1, 2], [3, 4]]",option b
PHP,What is the output of `echo (int) 4.5;` in PHP?,4,5,4.5,Error,option a
PHP,Which operator is used for comparison in PHP?,=,,,!=,option b
PHP,Which of the following is the correct way to define a constant array in PHP?,"const array = [1, 2, 3]","define('ARRAY', [1, 2, 3])","array('1', '2', '3')","define('ARRAY', '1, 2, 3')",option b
PHP,How do you access the value of a session variable in PHP?,$_SESSION['variable'],$session['variable'],session_get('variable'),session('variable'),option a
PHP,Which of the following is used to open a file in PHP?,fopen(),file_open(),open_file(),open(),option a
PHP,Which function is used to extract a substring from a string in PHP?,substr(),substring(),cut(),slice(),option a
PHP,Which of the following is correct for an anonymous function in PHP?,function() { },function { },anonymous() { },func() { },option a
PHP,Which operator is used to access object properties in PHP?,->,.,::,#,option a
PHP,What is the correct way to get the current timestamp in PHP?,timestamp(),current_time(),time(),get_timestamp(),option c
PHP,Which of the following is used to delete a variable in PHP?,remove,unset,delete,null,option b
PHP,What is the correct way to create an object in PHP?,new ClassName(),create ClassName(),ClassName.new(),object ClassName(),option a
PHP,What function is used to compare two strings in PHP?,compare(),strcmp(),compare_strings(),str_equal(),option b
PHP,Which function is used to replace a substring in a string in PHP?,replace(),str_replace(),substr_replace(),replace_string(),option b
PHP,What is the correct way to access a value from an associative array in PHP?,array[key],array[key()],array{key},array.get(key),option a
PHP,Which method is used to include a file once in PHP?,include_once(),once_include(),include_file(),file_include_once(),option a
PHP,Which of the following functions is used to check if a file exists in PHP?,is_file(),file_exists(),exists(),check_file(),option b
PHP,How do you declare a static method in PHP?,static function method(),function static method(),static method(),method static(),option a
PHP,How do you close a file in PHP?,close(),file_close(),fclose(),close_file(),option c
PHP,What is the output of `echo 10 / 4;`?,2,2.5,3,Error,option b
Go,Which symbol is used for single-line comments in Go?,#,//,/*,--,option b
Go,Which of the following is used to declare a variable in Go?,let,var,const,define,option b
Go,Which of the following types does Go support?,int,string,float,all of the above,option d
Go,What is the default value of a string in Go?,null,undefined,0,empty string,option d
Go,Which keyword is used to define a constant in Go?,constant,let,var,const,option d
Go,Which function is used to get the length of an array in Go?,length(),len(),size(),array_size(),option b
Go,How do you declare a function in Go?,func function_name(),function function_name(),def function_name(),declare function_name(),option a
Go,Which of the following is correct for defining a struct in Go?,type MyStruct struct {},MyStruct = struct {},struct MyStruct {},type struct MyStruct,option a
Go,How do you handle an error in Go?,error(),try-catch,if err != nil,catch(err),option c
Go,What is the default value of an uninitialized int in Go?,0,1,nil,undefined,option a
Go,How do you convert a string to an integer in Go?,toInt(),strconv.Atoi(),int(),parseInt(),option b
Go,Which of the following methods is used to define a method for a struct in Go?,func method(){},method func(){},method(),func (struct) method(){},option d
Go,What does the 'defer' keyword do in Go?,Executes function before returning,Executes function after returning,Delays function execution until the function ends,None of the above,option c
Go,Which type of variable is immutable by default in Go?,mutable,constant,immutable,variable,option c
Go,Which function is used to parse a string into a float in Go?,parseFloat(),strconv.ParseFloat(),float64(),toFloat(),option b
Go,Which function is used to create a new instance of a goroutine?,createGoroutine(),go(),goroutine(),startGoroutine(),option b
Go,Which of the following can be used to handle concurrency in Go?,goroutines,async,threads,tasks,option a
Go,How do you define a map in Go?,map[key]value,key:value,"map(key, value)",map{},option a
Go,What does the 'select' statement do in Go?,Selects a random value,Selects the fastest case,Used for handling multiple channels,None of the above,option c
Go,Which of the following methods is used to declare a variable in Go?,var variable_name,variable variable_name,let variable_name,define variable_name,option a
Go,How do you create a new channel in Go?,channel make(),chan make(),channel(),make(chan),option d
Go,Which function is used to close a channel in Go?,close(),channel.close(),channel_shutdown(),close_channel(),option a
Go,Which keyword is used to create an alias in Go?,type,alias,typealias,newtype,option a
Go,Which of the following is true about Go's garbage collection?,Go has automatic garbage collection,Go uses manual garbage collection,Go uses reference counting,Go has no garbage collection,option a
Go,Which package is commonly used for handling input and output in Go?,fmt,io,input,inputoutput,option a
Go,How do you create a slice in Go?,"[]int{1, 2, 3}","slice(1, 2, 3)","new_slice(1, 2, 3)","create_slice(1, 2, 3)",option a
Go,Which of the following is used to execute a block of code in Go?,defer,go,func,call,option c
Go,What is the function signature for the main function in Go?,func main(){},func main(){return},main func(),func main{ },option a
Go,What is the function used to generate a random number in Go?,rand(),math.rand(),math.random(),randInt(),option a
Go,What is the default value of a boolean in Go?,true,false,nil,undefined,option b
Go,Which of the following is used to implement interfaces in Go?,method signature,type,struct,all of the above,option d
Go,How do you import a package in Go?,import 'package_name',import package_name,package import 'name',import 'name',option a
Go,How do you declare a global variable in Go?,var variable_name,global variable_name,type variable_name,let variable_name,option a
Go,What is the output of `fmt.Println(5 + 3)` in Go?,5 + 3,8,53,Error,option b
Go,What function is used to print formatted output in Go?,print(),fmt.Print(),fmt.Println(),fmt.Printf(),option d
Go,Which of the following is true about Go's memory management?,Go uses stack allocation only,Go uses heap allocation only,Go uses both stack and heap memory,Go has no memory management,option c
Go,Which of the following is used for reading user input in Go?,input(),fmt.Scan(),read(),user_input(),option b
Go,How can you return multiple values from a function in Go?,"return val1, val2","return(val1, val2)","return(val1, val2)","return (val1, val2)",option a
Go,How do you initialize a map in Go?,make(map),map{},new_map(),initialize_map(),option a
Swift,What keyword is used to define a constant in Swift?,let,const,var,final,option a
Swift,Which type is used to represent a floating-point number in Swift?,Int,Double,Float,Decimal,option b
Swift,Which of the following is the correct way to create an array in Swift?,[],"[1, 2, 3]","array(1, 2, 3)","Array(1, 2, 3)",option b
Swift,What is the default value of a boolean in Swift?,true,false,nil,undefined,option b
Swift,How do you define a function in Swift?,def function(),func function(),function(),define function(),option b
Swift,What symbol is used for single-line comments in Swift?,#,//,/*,--,option b
Swift,How do you create a dictionary in Swift?,{},[],dict(),Dictionary(),option a
Swift,Which function is used to read input from the user in Swift?,read(),getInput(),input(),readLine(),option d
Swift,Which keyword is used to define an optional in Swift?,optional,opt,?,null,option c
Swift,Which type of loop is used to iterate through arrays in Swift?,for,foreach,while,repeat,option a
Swift,How do you initialize a class in Swift?,className(),ClassName(),new ClassName(),init(),option b
Swift,Which operator is used to concatenate strings in Swift?,&,+,.,-,option b
Swift,Which function is used to convert a string to an integer in Swift?,int(),toInt(),stringToInt(),Int(),option d
Swift,Which of the following is the correct way to define an array of integers in Swift?,"var arr = [1, 2, 3]","var arr: [Int] = [1, 2, 3]","var arr = Array(1, 2, 3)","arr = [1, 2, 3]",option a
Swift,Which function is used to print output to the console in Swift?,println(),print(),echo(),output(),option b
Swift,What does the 'guard' keyword do in Swift?,Checks for conditions,Exits the current function,Used to declare a constant,None of the above,option a
Swift,Which of the following is used for error handling in Swift?,throw,catch,try-catch,do-catch,option d
Swift,Which of these is a valid optional type in Swift?,String?,Optional String,String[],String!,option a
Swift,Which operator is used to unwrap an optional in Swift?,?,!,#,&,option b
Swift,How do you define a closure in Swift?,func(){},{ },closure {},def(){},option b
Swift,Which of the following data types does Swift support?,Int,Double,String,All of the above,option d
Swift,What is the function signature for the main function in Swift?,func main(){},func main{ },main func(){},None of the above,option d
Swift,Which symbol is used for multi-line comments in Swift?,#,//,/* */,--,option c
Swift,What is the correct syntax for a while loop in Swift?,while condition {},while (condition){},while{} condition,loop while condition,option a
Swift,Which type of data structure is an optional in Swift?,Array,Dictionary,Set,None of the above,option d
